배정기준일,현금배당,주식,종목코드,종목명,시장구분,배당구분,명의개서대리인,주식종류,주당배당금,,주당배당률(일반),,주당배당률(차등),,액면가,결산월
,지급일,유통(교부)일,,,,,,,일반,차등,현금,주식,현금,주식,,
20190331,20190503,,003410,쌍용양회공업,유가증권시장,현금배당,한국예탁결제원,보통주,100,,10,0,,,1000,12
20190331,20190503,,003415,쌍용양회공업1우,유가증권시장,현금배당,한국예탁결제원,우선주,100,,10,0,,,1000,12
20190331,20190531,,225330,씨엠에스에듀,코스닥시장,현금배당,한국예탁결제원,보통주,150,,30,0,,,500,12
20190331,20190725,,289080,에스브이인베스트먼트,코스닥시장,현금배당,한국예탁결제원,보통주,120,,24,0,,,500,03
20190331,20190716,,083030,에스에프씨,기타비상장,현금배당,한국예탁결제원,보통주,3000,,60,0,,,5000,03
20190331,20190422,,119450,오리온테크놀리지,기타비상장,현금배당,한국예탁결제원,보통주,3011,,602.2,0,,,500,12
20190331,20190514,,021240,웅진코웨이,유가증권시장,현금배당,하나은행,보통주,800,,160,0,,,500,12
20190331,20190702,,067010,이씨에스텔레콤,코스닥시장,현금배당,국민은행,보통주,120,,24,0,,,500,03
20190331,20190717,,099750,이지케어텍,코스닥시장,현금배당,국민은행,보통주,86,,17.2,0,,,500,03
20190331,20190627,,169170,제이알제10호위탁관리부동산투자회사,기타비상장,현금배당,하나은행,보통주,0,,0,0,,,5000,03
20190331,20190627,,16917K,제이알제10호위탁관리부동산투자회사1우,기타비상장,현금배당,하나은행,우선주,0,,3.07358933,0,,,5000,03
20190331,20190507,,139410,제이알제5호위탁관리부동산투자회사,기타비상장,현금배당,자체,보통주,0,,177.45004752,0,,,5000,03
20190331,20190507,,139415,제이알제5호위탁관리부동산투자회사1우,기타비상장,현금배당,자체,우선주,0,,51.666088,0,,,5000,03
20190331,20190523,,000650,천일고속,유가증권시장,현금배당,한국예탁결제원,보통주,1000,,20,0,,,5000,12
20190331,20190530,,005490,포스코,유가증권시장,현금배당,국민은행,보통주,2000,,40,0,,,5000,12
20190331,20190709,,000970,한국주철관공업,유가증권시장,현금배당,한국예탁결제원,보통주,200,,40,0,,,500,03
20190331,20190419,,168490,한국투자패러랠유전해외자원개발특별자산투자회사1호지분증권,유가증권시장,현금배당,한국예탁결제원,보통주,35,,.817757009345794,0,,,0,03
20190331,20190522,,018880,한온시스템,유가증권시장,현금배당,국민은행,보통주,80,,80,0,,,100,12
20190327,20190419,,155900,바다로19호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.5369863,0,,,5000,12
20190320,20190402,,083370,동북아12호선박투자회사,유가증권시장,현금배당,한국예탁결제원,보통주,0,,1.47945205,0,,,5000,12
20190315,20190329,,172580,하이골드오션12호국제선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,,.575342,0,,,5000,12
20190315,20190329,,153360,하이골드오션3호선박투자회사,유가증권시장,현금배당,하나은행,보통주,0,0,.322191,0,,,5000,12
